Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
229550,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,A-321,1,1,None,13/10/2004 0:00,No damage,US AIRWAYS*,North Carolina,Approach,None,FALSE,FALSE,,Small,Overcast,Unknown bird - small,Y,0,400,0,No
229560,Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,C-650,1,1,None,24/11/2004 0:00,No damage,EXECUTIVE JET AVIATION,DC,Approach,Rain,FALSE,FALSE,LARGE BLACK BIRD. UNKN IF DMG. IN LDG FLARE. ARPT BIOLOGIST HAD NO RECORD OF THIS STRIKE. OPS HAD A STRIKE RECORDED AT 1409 BUT NO CARCASS WAS FOUND,Large,Overcast,Unknown bird - large,Y,0,1,0,No
229569,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,DORNIER 328J,1,1,None,30/07/2004 0:00,No damage,ATLANTIC COAST AIRLINES,Kentucky,Landing Roll,None,FALSE,FALSE,NO DMG,Small,Some Cloud,Unknown bird - small,Y,0,0,0,No
229572,Airplane,HOUSTON-HOBBY,< 1000 ft,B-737-500,1,1,None,6/05/2004 0:00,No damage,SOUTHWEST AIRLINES,Texas,Approach,None,FALSE,FALSE,CROWS? NO DMG.,Small,No Cloud,Unknown bird - small,N,0,500,0,Yes
229579,Airplane,KANSAS CITY INTL,< 1000 ft,B-717-200,1,1,None,20/09/2004 0:00,No damage,MIDWEST AIRLINES,Missouri,Approach,None,TRUE,TRUE,"MX FOUND EVIDENCE OF STRIKE. NEVER REPTD BY PILOT. UNKN WHERE STRIKE OCCURRED. (COMMENTS FROM 1 REPORT)
2ND REPT SHOWS STRIKE AT 100' AGL AT MCI. ID BY SMITHSONIAN FAA 871",Small,No Cloud,Common nighthawk,Y,0,100,0,No
229580,Airplane,BISMARCK MUNICIPAL ARPT,< 1000 ft,DC-9,1,1,None,26/07/2005 0:00,No damage,NORTHWEST AIRLINES,North Dakota,Take-off run,None,FALSE,FALSE,ON /TO JUST PRIOR TO V1 WE HAD A BIRDSTRIKE TO F/O'S WINDOW. NO DMG. CLEANED.,Small,No Cloud,Unknown bird - small,N,0,0,0,No
229581,Airplane,SALT LAKE CITY INTL,< 1000 ft,CL-RJ100/200,1,1,None,26/07/2005 0:00,No damage,SKYWEST AIRLINES,Utah,Landing Roll,None,TRUE,FALSE,"PILOT REPTD STRIKE AT 1,000 FT MARKER. CARCASS FOUND ON TWY H-11 (BIRD REPTD AS MEADOWLARK, ASSUME WESTERN FROM LOCATION)",Small,Some Cloud,Western meadowlark,Y,0,0,0,No
229582,Airplane,FIUMICINO ARPT,< 1000 ft,B-767-300,1,1,None,11/04/2005 0:00,No damage,DELTA AIR LINES,N/A,Climb,None,FALSE,FALSE,NO APPARENT DMG.,Medium,Overcast,Unknown bird - medium,N,0,20,0,Yes
229586,Airplane,AIRBORNE AIRPARK,< 1000 ft,B-767-200,1,1,None,26/07/2004 0:00,No damage,ABX AIR,Ohio,Climb,None,FALSE,FALSE,BIRDSTRIKE TO RT FWD FUSELAGE. MX INSPN. NO DMG.,Medium,No Cloud,Unknown bird - medium,N,0,50,0,Yes
229587,Airplane,KAPALUA ARPT,< 1000 ft,DHC8 DASH 8,1,1,None,20/06/2005 0:00,No damage,ISLAND AIR,Hawaii,Landing Roll,None,FALSE,FALSE,NO DMG.,Small,Some Cloud,Unknown bird - small,N,0,0,0,No
229588,Airplane,LAMBERT-ST LOUIS INTL,< 1000 ft,B-727-200,1,1,None,1/12/2004 0:00,No damage,ASTAR AIR CARGO,Missouri,Take-off run,None,FALSE,FALSE,NO DMG. COST FOR INSPN ONLY.,Small,No Cloud,Unknown bird - small,N,54,0,0,No
229590,Airplane,LINCOLN MUNICIPAL,< 1000 ft,PILATUS PC12,1,1,None,5/04/2005 0:00,No damage,BUSINESS,Nebraska,Landing Roll,None,FALSE,FALSE,,Small,Overcast,Mourning dove,Y,0,0,0,No
229593,Airplane,GREATER PITTSBURGH,< 1000 ft,A-319,1,1,None,13/08/2004 0:00,No damage,US AIRWAYS*,Pennsylvania,Take-off run,Rain,FALSE,FALSE,"# BIRDS NOT REPTD, ASSUME 1",Small,Overcast,Unknown bird - small,N,0,0,0,No
229596,Airplane,RONALD REAGAN WASHINGTON NATL,< 1000 ft,CL-RJ100/200,1,1,None,31/10/2004 0:00,No damage,PACIFIC ISLAND AVIATION,DC,Landing Roll,None,TRUE,FALSE,ATIS WARNING. BIRD HIT RT WING. OPS FOUND CARCASS @ TWY M AND RWY 33.,Small,Some Cloud,American kestrel,Y,0,0,0,No
229597,Airplane,ST. PAUL DOWNTOWN ARPT,< 1000 ft,C-340,1,1,None,31/10/2004 0:00,Caused damage,BUSINESS,Minnesota,Approach,None,FALSE,FALSE,,Large,Overcast,Unknown bird - large,N,0,"1,000",0,No
