Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
309698,Airplane,SAN ANTONIO INTL,< 1000 ft,A-300,1,1,None,23/01/2011 0:00,No damage,UPS AIRLINES,Texas,Approach,None,FALSE,FALSE,STRIKE OCCURRED IN FLARE AT 50' APPROX 1000' FROM RWY THRESHOLD. NO DMG NOTED. SML BLOOD SPLAT UNDER RADOME.,Medium,Overcast,Unknown bird - medium,N,0,50,0,No
309703,Airplane,MINETA SAN JOSE INTL,< 1000 ft,B-767-300,1,1,None,25/01/2011 0:00,No damage,HAWAIIAN AIR,California,Climb,None,FALSE,FALSE,"JUST AFTER ROTATION, SAW 3 BIRDS ABOVE US. 2 WENT LEFT AND RT, 3RD DOVE TO GO BELOW US BUT HIT LWR NOSE ON LDG GEAR. ARPT OPS REMOVED REMAINS FROM 30R @ TWY L. ATC WAS NOTIFIED TO PASS INFO TO FLT CREW.",Medium,No Cloud,California gull,Y,0,100,0,Yes
309704,Airplane,HILO INTL ARPT,< 1000 ft,B-717-200,1,1,None,26/01/2011 0:00,No damage,HAWAIIAN AIR,Hawaii,Landing Roll,None,TRUE,FALSE,"DURING LDG ROLLOUT BIRD IT JUST ABOVE L WINDSHLD. FOUND NO EVIDNCE OF STRIKE ON A/C. SAW 4, HIT 1.",Small,No Cloud,Pacific golden-plover,Y,0,0,0,No
309707,Airplane,SACRAMENTO INTL,> 1000 ft,B-737-300,1,1,None,28/01/2011 0:00,Caused damage,SOUTHWEST AIRLINES,California,Approach,Fog,FALSE,FALSE,"BIRD HIT #2 ENG COWLING. 4 X 8 "" DENT. ARPT NOT NOTIFIED OF STRIKE. REPLACED COWLING AND BORESCOPED ENG. SUBSTANTIAL DMG TO COWLING REPTD.",Large,Overcast,Unknown bird - large,Y,0,"1,800",0,Yes
309708,,,,AEROS SA365,,1,,,No damage,,Alabama,,None,FALSE,FALSE,NO DMG.,,No Cloud,Unknown bird - small,,0,,0,
309710,Airplane,MIAMI INTL,< 1000 ft,DC-10-30,2 to 10,4,None,29/01/2011 0:00,No damage,BUSINESS,Florida,Approach,None,TRUE,TRUE,"ID BY SMITHSONIAN. NO VIABLE DNA OR FEATHER MATERIAL IN SAMPLE SENT FOR ID. CAPT REPTD THAT ON FINAL APCH, THEY SAW 2 MED SIZED BLACK BIRDS AND HIT ONE. RT SIDE OF CO/P WINDOW. NO DMG. NO REMAINS FOUND ON A/C. A SMUDGE AREA AT THE POINT OF IMPACT WAS SEEN",Medium,No Cloud,Unknown bird - medium,Y,0,400,0,Yes
309713,Airplane,KAHULUI ARPT,> 1000 ft,B-767-300,2 to 10,6,None,30/01/2011 0:00,Caused damage,AIR CANADA,Hawaii,Approach,None,TRUE,TRUE,"ID BY SMITHSONIAN. NO VIABLE DNA OR FEATHER MATERIAL FOUND IN SAMPLE, ONLY INSECT MATERIAL. UPON LDG, PILOT REPTD SEEING BIRDS IN THE VICINTY OF THE RWY. SPECIES UNKN. A/C INSPN FOUND LDG LIGHT LENS WAS SHATTERED. NO WILDLF REMAINS WERE FOUND ON OR NEAR R",Medium,No Cloud,Unknown bird - medium,Y,0,"2,000",0,Yes
309758,Airplane,ALBUQUERQUE INTL,< 1000 ft,EMB-170,1,1,None,1/01/2011 0:00,No damage,REPUBLIC AIRLINES,New Mexico,Landing Roll,None,TRUE,FALSE,PILOT REPTD STRIKING A BIRD ON R/O. OPS REMVD CARCASS FROM RWY 26 AT TWY D.,Small,No Cloud,Rock pigeon,Y,0,0,0,No
309760,Airplane,SACRAMENTO INTL,< 1000 ft,B-737-700,1,1,None,1/01/2011 0:00,No damage,SOUTHWEST AIRLINES,California,Approach,Rain,FALSE,FALSE,A/C CLEANED PRIOR TO ARPT OPS ARRIVAL. NO DMG TO A/C.,Small,Overcast,Unknown bird - small,Y,0,300,0,Yes
309797,Airplane,NASHVILLE INTL,< 1000 ft,CL-RJ100/200,1,1,None,14/01/2011 0:00,No damage,ATLANTIC SOUTHEAST,Tennessee,Climb,None,FALSE,FALSE,ATIS WARNING. LOCATION REPTD AS 1 MILE S OF RWY 20R DEPT END.,Small,Some Cloud,Unknown bird - small,Y,0,500,0,No
