Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
301625,Airplane,AUSTIN-BERGSTROM INTL,> 1000 ft,B-737-700,1,1,None,21/04/2010 0:00,No damage,SOUTHWEST AIRLINES,Texas,Descent,None,FALSE,FALSE,LOCATION REPTD AS 23 NM W OF KAUS.,Small,No Cloud,Unknown bird - small,0,"7,000",0,Yes
301870,Airplane,DALLAS/FORT WORTH INTL ARPT,> 1000 ft,B-767-200,1,1,None,21/04/2010 0:00,No damage,AMERICAN AIRLINES,Texas,Approach,None,FALSE,FALSE,LOCATION REPTD AS 8 MILES NW. NO DMG TO RADOME.,Small,No Cloud,Unknown bird - small,0,"3,000",0,Yes
301624,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,> 1000 ft,B-737-700,1,1,None,21/04/2010 0:00,No damage,SOUTHWEST AIRLINES,Florida,Approach,None,FALSE,FALSE,"LOATION REPTD AS 3.5 MILES FROM RWY 9L. BIRD IMPACTED COPILOTS RT SIDE WINDOW LEAVING A 2"" X 8"" SMEAR.",Small,Some Cloud,Unknown bird - small,0,"1,500",0,Yes
301622,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,< 1000 ft,B-737-200,1,1,None,21/04/2010 0:00,No damage,SOUTHWEST AIRLINES,Alabama,Approach,None,TRUE,FALSE,NO DMG. TOUCHDOWN ZONE. TIME OUT OF SERVICE REPTD AS .20 HRS.,Small,No Cloud,Mourning dove,205,50,0,Yes
301895,Airplane,WARREN FIELD ARPT,< 1000 ft,PA-28,1,1,Precautionary Landing,21/04/2010 0:00,Caused damage,BUSINESS,North Carolina,Take-off run,None,TRUE,FALSE,"DMG CAUSED TO LE OF RT WING AT THE ROOT. DENT OF ABOUT 4"" WITHIN THE WING. RT FUEL TANK PERFORATED. RT MAIN GEAR IMPACTED BUT SLIGHTLY DMGED.",Large,Overcast,White-tailed deer,"25,668",0,0,No
301898,Airplane,WILMINGTON INTL,< 1000 ft,CL-RJ100/200,1,1,None,22/04/2010 0:00,No damage,ATLANTIC SOUTHEAST,North Carolina,Approach,None,FALSE,FALSE,BIRDS REPTD AS BLACK IN COLOR. 3 TOTAL BIRDS SPOTTED DURING LANDING. 1 STRUCK. UNABLE TO DETERMINE SPECIES. BIRD WAS STRUCK PRIOR TO LANDING. RWY SWEEP DID NOT TURN UP CARCASS. FINAL APRCH.,Medium,No Cloud,Unknown bird - medium,0,500,0,No
301343,Airplane,PALM BEACH INTL,< 1000 ft,B-737-400,1,1,None,22/04/2010 0:00,No damage,US AIRWAYS,Florida,Approach,None,FALSE,FALSE,UNDER CAPT WINDOW. NO DMG SEEN IMMEDIATELY AFTER. MX WILL INSPECT.,Small,No Cloud,Unknown bird - small,0,300,0,Yes
301240,Airplane,PHOENIX SKY HARBOR,< 1000 ft,B-737-300,1,1,None,22/04/2010 0:00,No damage,SOUTHWEST AIRLINES,Arizona,Landing Roll,None,FALSE,FALSE,,Small,Overcast,Unknown bird - small,0,0,0,Yes
301342,Airplane,HOUSTON-HOBBY,> 1000 ft,B-737-300,1,1,None,22/04/2010 0:00,No damage,SOUTHWEST AIRLINES,Texas,Descent,None,FALSE,FALSE,LOCATION REPTD AS 25NM FROM HUB. DESCENDING IN CLOUDS FOR ARRIVAL. BIRD HIT CAPT SIDE ABOUT 3 IN FRONT OF PITOT TUBES. NO DMG NOTED.,Medium,Overcast,Unknown bird - medium,0,"5,000",0,Yes
301236,Airplane,ELLINGTON FIELD ARPT,> 1000 ft,T-38N,1,1,None,22/04/2010 0:00,No damage,GOVERNMENT,Texas,Approach,None,FALSE,FALSE,NO DMG. LOCATION REPTD AS 45 TO INITIAL FOR 17R APPROX 2 NM NE OF AIRFIELD.,Small,Some Cloud,Unknown bird - small,0,"1,600",0,No
